NAME,MpG,PpG,RpG,ApG,P+R+A,PRA_Rank,TS%,USG%,VI,ORtg,DRtg
Rayan Rupert,28.1,11.4,5.5,0.9,17.8,196,0.584,15.7,5.5,117.2,102.3
Royce O'Neale,29.3,10.0,4.9,2.8,17.7,199,0.586,14.5,7.0,115.3,109.5
Tre Johnson,24.1,12.7,2.8,2.0,17.6,201,0.561,22.2,6.9,107.9,119.9
Jaylen Wells,26.6,12.6,3.3,1.7,17.6,201,0.557,19.4,6.2,111.7,113.2
Sandro Mamukelashvili,22.1,10.8,4.8,1.9,17.5,203,0.626,18.3,8.4,126.8,107.0
Khris Middleton,24.3,10.3,3.9,3.3,17.5,203,0.531,19.5,8.4,107.6,115.7
Kevin Huerter,23.6,10.9,3.8,2.6,17.4,205,0.559,19.4,8.1,111.0,112.2
Sam Merrill,25.9,12.7,2.4,2.3,17.3,207,0.663,16.9,6.4,130.6,110.9
Cameron Johnson,30.2,11.2,3.7,2.4,17.3,207,0.597,14.8,6.1,122.3,113.9
Bilal Coulibaly,26.3,10.4,4.3,2.6,17.3,207,0.514,18.3,7.4,105.7,115.2
Malik Monk,22.0,12.6,1.9,2.7,17.2,210,0.566,24.2,7.3,109.8,119.1
Walter Clayton Jr.,25.3,8.6,2.0,6.5,17.2,210,0.462,19.4,7.6,99.9,113.4
Pelle Larsson,25.1,10.4,3.4,3.3,17.1,212,0.591,16.1,7.8,121.1,109.6
Taylor Hendricks,24.0,10.7,4.7,1.5,16.9,213,0.573,18.0,7.0,113.7,108.8
Moses Moody,25.5,11.9,3.3,1.6,16.9,213,0.603,18.0,6.2,118.7,111.5
Egor Demin,25.2,10.3,3.2,3.3,16.8,215,0.561,18.8,7.6,108.6,116.0
GG Jackson,20.4,11.0,4.3,1.4,16.7,217,0.588,22.1,7.9,109.1,111.9
Caleb Love,22.2,11.3,2.5,2.7,16.5,219,0.5,23.1,7.6,105.7,117.0
Duncan Robinson,27.8,11.9,2.6,1.9,16.5,219,0.611,15.6,5.6,126.4,109.3
Daniel Gafford,21.5,8.7,6.7,1.0,16.4,221,0.673,15.0,7.2,128.1,103.8
Vince Williams Jr.,21.6,8.0,4.0,4.4,16.4,221,0.478,19.6,9.6,103.4,109.9
Isaiah Stewart,23.3,10.0,5.1,1.2,16.3,223,0.623,16.2,6.8,123.2,102.7
Leaky Black,32.9,9.5,5.8,1.0,16.3,223,0.531,12.3,4.6,113.6,118.5
Al Horford,22.1,8.4,5.1,2.7,16.2,226,0.552,16.4,8.8,116.6,111.7
Precious Achiuwa,22.3,8.7,6.1,1.3,16.2,226,0.558,16.2,7.4,119.5,114.6
Lawson Lovering,24.7,7.0,7.5,1.5,16.0,228,0.574,11.9,6.9,122.4,102.3
Steven Adams,22.8,5.8,8.6,1.5,16.0,228,0.535,12.0,7.4,124.8,108.0
Danny Wolf,20.6,8.9,4.8,2.3,15.9,230,0.524,20.5,9.0,108.4,110.4
Rui Hachimura,29.1,11.6,3.3,0.9,15.8,232,0.615,15.1,4.5,119.7,115.7
Jordan Goodwin,22.2,8.9,4.7,2.2,15.7,235,0.518,18.2,8.1,115.7,107.9
